x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,label
0,0,0,-0.101096541,-0.079455532,-0.046883553,-0.193369463,-0.266083956,-0.079203181,-0.159790143,-0.411716133,-0.114068069,-0.054073773,-0.417267382,-0.146604642,-0.093830653,-0.504380703,-0.064353809,-0.117362894,-0.726615787,-0.127880231,-0.130652398,-0.853170633,-0.165404364,-0.128514662,-0.971904159,-0.197196141,0.00638425,-0.480066895,-0.077137567,-0.039980203,-0.539888501,-0.162020996,-0.069015443,-0.370356351,-0.163728565,-0.048432302,-0.322704464,-0.150539786,0.094437651,-0.420850605,-0.098518446,0.053184077,-0.466883481,-0.174142599,0.007825908,-0.321449637,-0.134993747,0.023010224103927612,-0.286508024,-0.094038986,0.17551195621490479,-0.338617742,-0.127042174,0.14568275213241577,-0.403771102,-0.171176925,0.090183318,-0.310124338,-0.143583149,0.090570189,-0.271719903,-0.114716269,one
0,0,0,-0.10240683,-0.076451667,-0.048263952,-0.197523445,-0.264525652,-0.08081384,-0.158352375,-0.406911939,-0.115064211,-0.046010487,-0.411927849,-0.146766722,-0.098683134,-0.503171682,-0.066099159,-0.119717091,-0.724503696,-0.130925432,-0.129681215,-0.849685192,-0.169021025,-0.125071809,-0.971458852,-0.201555714,0.003036631,-0.482794166,-0.077911578,-0.040670369,-0.53668201,-0.162585348,-0.068198562,-0.363273293,-0.163913995,-0.048070788,-0.321181178,-0.151074469,0.09169703,-0.426307231,-0.098499231,0.051444169133901596,-0.463867247,-0.17357862,0.006260002,-0.313657761,-0.132850096,0.021738307550549507,-0.286064178,-0.091541179,0.17281992733478546,-0.346433133,-0.126418695,0.1378878504037857,-0.398689568,-0.169869155,0.086602524,-0.299270988,-0.141189978,0.092379227,-0.267039686,-0.111936823,one
0,0,0,-0.102976523,-0.078099236,-0.047270197,-0.197939664,-0.264400065,-0.079932556,-0.156280279,-0.397333086,-0.114530958,-0.043552585,-0.401568532,-0.146821558,-0.096019544,-0.508903444,-0.065790646,-0.115418375,-0.727485418,-0.129094467,-0.124757439,-0.851686537,-0.166518509,-0.119810127,-0.972625732,-0.199109569,0.007762562,-0.488198042,-0.077780776,-0.039213099,-0.529239595,-0.161151201,-0.070001364,-0.359026104,-0.163129762,-0.049728759,-0.319104016,-0.151656777,0.097249955,-0.428764611,-0.098229066,0.053740386,-0.452946752,-0.172252715,0.005179108,-0.304638624,-0.132030472,0.020502994,-0.27965346,-0.091779292,0.17868994176387787,-0.345775723,-0.125886112,0.14356668293476105,-0.392728269,-0.168873966,0.089292444,-0.292645723,-0.140005171,0.093881711,-0.260552704,-0.110831179,one
0,0,0,-0.099567816,-0.078712322,-0.048128214,-0.192112565,-0.260320693,-0.08079078,-0.148007885,-0.391780376,-0.115200147,-0.033151787,-0.39153415,-0.147860378,-0.093647398,-0.499144554,-0.067324094,-0.111248069,-0.724552512,-0.125919044,-0.116616137,-0.853097975,-0.16292569,-0.111491494,-0.974261642,-0.195917994,0.00804439,-0.478400111,-0.078768112,-0.030254507,-0.525217474,-0.16330798,-0.067699939,-0.36944887,-0.172471747,-0.062002141,-0.319204211,-0.165944949,0.096445359,-0.420620501,-0.097441487,0.066023886,-0.455853522,-0.172838673,0.013049682602286339,-0.318558276,-0.142065272,0.014232234098017216,-0.282259792,-0.107522584,0.17764940857887268,-0.340925545,-0.122773089,0.15476159751415253,-0.392321467,-0.168816239,0.098931096,-0.301845312,-0.1456521,0.091604613,-0.264150441,-0.119860731,one
0,0,0,-0.107326657,-0.077000819,-0.047521837,-0.200317621,-0.261900544,-0.077873737,-0.151726946,-0.395456195,-0.110092841,-0.03647184,-0.395977527,-0.140135035,-0.104654185,-0.507345736,-0.063025326,-0.12312448,-0.725022852,-0.123158082,-0.130229279,-0.851850569,-0.161432967,-0.125107929,-0.97271353,-0.195387602,-0.002514476,-0.486329317,-0.073652416,-0.036684837,-0.529944122,-0.154272482,-0.073908478,-0.36258921,-0.158693522,-0.066635735,-0.312798053,-0.150107414,0.08506646,-0.429234654,-0.092446126,0.059301596,-0.463913828,-0.165045887,0.003737832,-0.316594571,-0.128629267,0.00606407,-0.278565913,-0.091496669,0.16484159231185913,-0.348050743,-0.118344679,0.14522144198417664,-0.401421487,-0.163418144,0.087009847,-0.303178251,-0.137776449,0.079641894,-0.262726605,-0.110726848,one
0,0,0,-0.107642531,-0.080143161,-0.048373938,-0.200158387,-0.256625116,-0.080233745,-0.151782528,-0.385999501,-0.113771282,-0.038182702,-0.392896444,-0.144257545,-0.106350183,-0.499123037,-0.066715457,-0.128352776,-0.721270382,-0.133870989,-0.136202708,-0.848173976,-0.176224753,-0.131876722,-0.968559504,-0.210952684,-0.00778539,-0.472749382,-0.077760637,-0.039265916,-0.525971293,-0.162676632,-0.07547465,-0.356191546,-0.16725105,-0.067744121,-0.311741471,-0.157613546,0.077425197,-0.418543279,-0.097565204,0.056983523070812225,-0.465790987,-0.172608912,0.00259844,-0.313904971,-0.13380675,0.006008589,-0.279360771,-0.094078161,0.15599292516708374,-0.341453075,-0.12479654,0.14061129093170166,-0.394977212,-0.1689457,0.084462523,-0.294209957,-0.140287384,0.079050787,-0.258090585,-0.110558622,one
0,0,0,-0.101772137,-0.079463795,-0.051578339,-0.191611454,-0.255721807,-0.084949873,-0.141295567,-0.385694176,-0.119417444,-0.028676093,-0.398743033,-0.150368229,-0.100306362,-0.489515215,-0.070598543,-0.122929595,-0.719252646,-0.138421506,-0.130933359,-0.845171332,-0.180478007,-0.127321839,-0.968380451,-0.214542195,-0.00320067,-0.460944951,-0.081105329,-0.029204572,-0.523595631,-0.173001632,-0.065179117,-0.361774266,-0.182871029,-0.060360044,-0.315539688,-0.174820229,0.081279181,-0.407018334,-0.100018881,0.065681227,-0.459491611,-0.181006104,0.014089968986809254,-0.312951803,-0.147195995,0.015568546019494534,-0.279088527,-0.108680435,0.16124001145362854,-0.333891362,-0.126105696,0.15109127759933472,-0.390767276,-0.173273608,0.098008506,-0.29448846,-0.146963403,0.089445457,-0.259498119,-0.118008561,one
0,0,0,-0.099401869,-0.080446601,-0.048323017,-0.183157668,-0.253926307,-0.081361525,-0.128505528,-0.380918503,-0.116293803,-0.020365549,-0.395693272,-0.147505879,-0.097308211,-0.491237491,-0.070000239,-0.118407726,-0.722875714,-0.136345148,-0.124585405,-0.847864866,-0.176498383,-0.120732814,-0.970423758,-0.209048524,-0.001881212,-0.455540627,-0.081849955,-0.023608224,-0.5201087,-0.174298525,-0.058371823,-0.360269427,-0.184200764,-0.0536067,-0.316424757,-0.175997585,0.082494356,-0.396420777,-0.101340033,0.071067601,-0.4547548,-0.183195323,0.019106645,-0.309316337,-0.149084359,0.019681657,-0.274400502,-0.109873801,0.16285736858844757,-0.320474386,-0.127404645,0.15785348415374756,-0.388978153,-0.175524011,0.10272813588380814,-0.294499338,-0.148613274,0.09106642,-0.2568703,-0.118755817,one
0,0,0,-0.09977071,-0.081111439,-0.046234492,-0.178170279,-0.261010796,-0.076242633,-0.116824083,-0.389831424,-0.108434036,-0.008063157,-0.404944301,-0.136978954,-0.095968716,-0.498202384,-0.062999122,-0.114202984,-0.724748254,-0.128807679,-0.119514503,-0.848703802,-0.170877665,-0.115649924,-0.971781552,-0.205586031,-0.00061189,-0.461365819,-0.07552547,-0.015213342,-0.526527584,-0.16807954,-0.050862283,-0.362214476,-0.180590272,-0.049590006,-0.317926258,-0.174192205,0.083041608,-0.401562452,-0.095649421,0.076067835,-0.460016131,-0.1772075,0.021999236196279526,-0.31126368,-0.144390658,0.019670488,-0.277675927,-0.106213488,0.16156622767448425,-0.324778855,-0.122175924,0.15851587057113647,-0.39050889,-0.170600951,0.10283564776182175,-0.293976784,-0.144672781,0.090044431,-0.257834643,-0.115613312,one
0,0,0,-0.100522317,-0.082150258,-0.049543381,-0.173618823,-0.254317492,-0.079649851,-0.107043393,-0.378711313,-0.1105491,-0.001184147,-0.410072953,-0.136521503,-0.096665516,-0.494306147,-0.066024393,-0.114531137,-0.726135492,-0.135052457,-0.119041495,-0.847810686,-0.178195372,-0.1130559,-0.97075659,-0.211778119,-0.00280199,-0.453121781,-0.076463677,-0.007986546,-0.524339676,-0.17013894,-0.043840121,-0.35590741,-0.18184796,-0.045036789,-0.308131337,-0.174249709,0.079003714,-0.394458681,-0.095264129,0.08210969,-0.458383858,-0.178364947,0.02528251,-0.303642273,-0.144549355,0.018922569,-0.268323064,-0.10504479,0.15500172972679138,-0.318778902,-0.120653026,0.16284003853797913,-0.391561896,-0.168632016,0.10618238896131516,-0.289521664,-0.140270665,0.090172738,-0.249198675,-0.109063312,one
